601 121 1
0 0 231 	 0 0 -0.681
0 0 232 	 0 0 -0.6744
0 0 233 	 0 0 -0.667457
0 0 234 	 0 0 -0.6613
0 0 235 	 0 0 -0.65485
0 0 236 	 0 0 -0.6484
0 0 237 	 0 0 -0.64205
0 0 238 	 0 0 -0.6357
0 0 239 	 0 0 -0.629022
0 0 240 	 0 0 -0.6231
0 0 241 	 0 0 -0.61695
0 0 242 	 0 0 -0.6108
0 0 243 	 0 0 -0.604493
0 0 244 	 0 0 -0.5989
0 0 245 	 0 0 -0.593
0 0 246 	 0 0 -0.5871
0 0 247 	 0 0 -0.5813
0 0 248 	 0 0 -0.5755
0 0 249 	 0 0 -0.569511
0 0 250 	 0 0 -0.5642
0 0 251 	 0 0 -0.5586
0 0 252 	 0 0 -0.553
0 0 253 	 0 0 -0.547117
0 0 254 	 0 0 -0.5419
0 0 255 	 0 0 -0.536176
0 0 256 	 0 0 -0.5311
0 0 257 	 0 0 -0.5259
0 0 258 	 0 0 -0.5207
0 0 259 	 0 0 -0.515241
0 0 260 	 0 0 -0.5104
0 0 261 	 0 0 -0.50525
0 0 262 	 0 0 -0.5001
0 0 263 	 0 0 -0.4952
0 0 264 	 0 0 -0.4903
0 0 265 	 0 0 -0.485212
0 0 266 	 0 0 -0.4807
0 0 267 	 0 0 -0.4759
0 0 268 	 0 0 -0.4711
0 0 269 	 0 0 -0.46645
0 0 270 	 0 0 -0.4618
0 0 271 	 0 0 -0.45735
0 0 272 	 0 0 -0.4529
0 0 273 	 0 0 -0.44845
0 0 274 	 0 0 -0.444
0 0 275 	 0 0 -0.4396
0 0 276 	 0 0 -0.4352
0 0 277 	 0 0 -0.43105
0 0 278 	 0 0 -0.4269
0 0 279 	 0 0 -0.42285
0 0 280 	 0 0 -0.4188
0 0 281 	 0 0 -0.414401
0 0 282 	 0 0 -0.4105
0 0 283 	 0 0 -0.4065
0 0 284 	 0 0 -0.4025
0 0 285 	 0 0 -0.39875
0 0 286 	 0 0 -0.395
0 0 287 	 0 0 -0.3913
0 0 288 	 0 0 -0.3876
0 0 289 	 0 0 -0.38395
0 0 290 	 0 0 -0.3803
0 0 291 	 0 0 -0.3768
0 0 292 	 0 0 -0.3733
0 0 293 	 0 0 -0.3698
0 0 294 	 0 0 -0.3663
0 0 295 	 0 0 -0.3629
0 0 296 	 0 0 -0.3595
0 0 297 	 0 0 -0.356055
0 0 298 	 0 0 -0.353
0 0 299 	 0 0 -0.3499
0 0 300 	 0 0 -0.3468
0 0 301 	 0 0 -0.3437
0 0 302 	 0 0 -0.3406
0 0 303 	 0 0 -0.3375
0 0 304 	 0 0 -0.3344
0 0 305 	 0 0 -0.3315
0 0 306 	 0 0 -0.3286
0 0 307 	 0 0 -0.325632
0 0 308 	 0 0 -0.323
0 0 309 	 0 0 -0.3203
0 0 310 	 0 0 -0.3176
0 0 311 	 0 0 -0.314844
0 0 312 	 0 0 -0.3124
0 0 313 	 0 0 -0.30985
0 0 314 	 0 0 -0.3073
0 0 315 	 0 0 -0.3048
0 0 316 	 0 0 -0.3023
0 0 317 	 0 0 -0.299703
0 0 318 	 0 0 -0.2974
0 0 319 	 0 0 -0.2951
0 0 320 	 0 0 -0.2928
0 0 321 	 0 0 -0.2906
0 0 322 	 0 0 -0.2884
0 0 323 	 0 0 -0.286015
0 0 324 	 0 0 -0.2839
0 0 325 	 0 0 -0.28175
0 0 326 	 0 0 -0.2796
0 0 327 	 0 0 -0.277533
0 0 328 	 0 0 -0.2757
0 0 329 	 0 0 -0.2738
0 0 330 	 0 0 -0.2719
0 0 331 	 0 0 -0.27
0 0 332 	 0 0 -0.2681
0 0 333 	 0 0 -0.266245
0 0 334 	 0 0 -0.2646
0 0 335 	 0 0 -0.26285
0 0 336 	 0 0 -0.2611
0 0 337 	 0 0 -0.2594
0 0 338 	 0 0 -0.2577
0 0 339 	 0 0 -0.2561
0 0 340 	 0 0 -0.2545
0 0 341 	 0 0 -0.253
0 0 342 	 0 0 -0.2515
0 0 343 	 0 0 -0.25
0 0 344 	 0 0 -0.2485
0 0 345 	 0 0 -0.247
0 0 346 	 0 0 -0.2455
0 0 347 	 0 0 -0.2441
0 0 348 	 0 0 -0.2427
0 0 349 	 0 0 -0.2414
0 0 350 	 0 0 -0.2401
0 1 -250 	 0 0.0032 -0.62395
0 1 -249 	 0 0.00315 -0.63025
0 1 -248 	 0 0.00315 -0.6365
0 1 -247 	 0 0.00325 -0.6429
0 1 -246 	 0 0.00325 -0.64925
0 1 -245 	 0 0.00345 -0.6557
0 1 -244 	 0 0.00345 -0.6622
0 1 -243 	 0 0.00345 -0.66885
0 1 -242 	 0 0.0034 -0.6755
0 1 -241 	 0 0.0034 -0.68225
0 1 -240 	 0 0.0034 -0.689
0 1 -239 	 0 0.0034 -0.69585
0 1 -238 	 0 0.0034 -0.70275
0 1 -237 	 0 0.00335 -0.7096
0 1 -236 	 0 0.00335 -0.7165
0 1 -235 	 0 0.00335 -0.7234
0 1 -234 	 0 0.0035 -0.7304
0 1 -233 	 0 0.0035 -0.73755
0 1 -232 	 0 0.0037 -0.7447
0 1 -231 	 0 0.00365 -0.75195
0 1 -230 	 0 0.00365 -0.75925
0 1 -229 	 0 0.0036 -0.7665
0 1 -228 	 0 0.0036 -0.7738
0 1 -227 	 0 0.0038 -0.78125
0 1 -226 	 0 0.0038 -0.78855
0 1 -225 	 0 0.0038 -0.79615
0 1 -224 	 0 0.0038 -0.80365
0 1 -223 	 0 0.0038 -0.81125
0 1 -222 	 0 0.00375 -0.81885
0 1 -221 	 0 0.0038 -0.82645
0 1 -220 	 0 0.0038 -0.834
0 1 -219 	 0 0.00395 -0.84175
0 1 -218 	 0 0.00395 -0.8495
0 1 -217 	 0 0.00405 -0.85735
0 1 -216 	 0 0.00405 -0.86525
0 1 -215 	 0 0.00405 -0.87315
0 1 -214 	 0 0.004 -0.8811
0 1 -213 	 0 0.004 -0.8891
0 1 -212 	 0 0.004 -0.8971
0 1 -211 	 0 0.004 -0.90515
0 1 -210 	 0 0.004 -0.91325
0 1 -209 	 0 0.004 -0.92135
0 1 -208 	 0 0.004 -0.92945
0 1 -207 	 0 0.004 -0.93755
0 1 -206 	 0 0.0041 -0.9457
0 1 -205 	 0 0.0042 -0.95395
0 1 -204 	 0 0.0042 -0.96225
0 1 -203 	 0 0.00415 -0.9706
0 1 -202 	 0 0.00415 -0.9789
0 1 -201 	 0 0.00415 -0.9872
0 1 -200 	 0 0.00415 -0.99555
0 1 -199 	 0 0.00415 -1.0039
0 1 -198 	 0 0.00425 -1.0123
0 1 -197 	 0 0.00425 -1.0208
0 1 -196 	 0 0.00425 -1.02925
0 1 -195 	 0 0.00425 -1.03775
0 1 -194 	 0 0.00425 -1.0462
0 1 -193 	 0 0.00425 -1.0547
0 1 -192 	 0 0.00425 -1.0632
0 1 -191 	 0 0.0043 -1.07175
0 1 -190 	 0 0.0043 -1.0803
0 1 -189 	 0 0.0043 -1.0889
0 1 -188 	 0 0.0043 -1.0975
0 1 -187 	 0 0.0043 -1.1061
0 1 -186 	 0 0.0043 -1.11465
0 1 -185 	 0 0.0043 -1.12325
0 1 -184 	 0 0.0043 -1.1318
0 1 -183 	 0 0.0043 -1.14045
0 1 -182 	 0 0.0043 -1.1491
0 1 -181 	 0 0.0043 -1.1577
0 1 -180 	 0 0.0043 -1.16635
0 1 -179 	 0 0.0043 -1.17495
0 1 -178 	 0 0.0043 -1.1836
0 1 -177 	 0 0.0043 -1.1922
0 1 -176 	 0 0.0043 -1.20085
0 1 -175 	 0 0.0043 -1.20945
0 1 -174 	 0 0.0043 -1.2181
0 1 -173 	 0 0.0043 -1.2267
0 1 -172 	 0 0.0043 -1.2353
0 1 -171 	 0 0.0043 -1.2439
0 1 -170 	 0 0.0043 -1.2525
0 1 -169 	 0 0.0043 -1.261
0 1 -168 	 0 0.00425 -1.26955
0 1 -167 	 0 0.0043 -1.27805
0 1 -166 	 0 0.0043 -1.2866
0 1 -165 	 0 0.0043 -1.29515
0 1 -164 	 0 0.0043 -1.3037
0 1 -163 	 0 0.00415 -1.31215
0 1 -162 	 0 0.00415 -1.3206
0 1 -161 	 0 0.00415 -1.329
0 1 -160 	 0 0.0042 -1.3374
0 1 -159 	 0 0.0042 -1.3458
0 1 -158 	 0 0.00425 -1.3542
0 1 -157 	 0 0.00415 -1.36255
0 1 -156 	 0 0.00415 -1.3709
0 1 -155 	 0 0.00405 -1.37915
0 1 -154 	 0 0.00405 -1.3874
0 1 -153 	 0 0.00405 -1.3956
0 1 -152 	 0 0.00405 -1.4038
0 1 -151 	 0 0.00405 -1.41195
0 1 -150 	 0 0.0041 -1.4201
0 1 -149 	 0 0.0041 -1.4282
0 1 -148 	 0 0.004 -1.4363
0 1 -147 	 0 0.0039 -1.44435
0 1 -146 	 0 0.0039 -1.45235
0 1 -145 	 0 0.0039 -1.46025
0 1 -144 	 0 0.0039 -1.4682
0 1 -143 	 0 0.0039 -1.47605
0 1 -142 	 0 0.0039 -1.4839
0 1 -141 	 0 0.0039 -1.49165
0 1 -140 	 0 0.00395 -1.49945
0 1 -139 	 0 0.0039 -1.50715
0 1 -138 	 0 0.0039 -1.51485
0 1 -137 	 0 0.00375 -1.52245
0 1 -136 	 0 0.00375 -1.5301
0 1 -135 	 0 0.0037 -1.5376
0 1 -134 	 0 0.0037 -1.54505
0 1 -133 	 0 0.0037 -1.55245
0 1 -132 	 0 0.00375 -1.55985
0 1 -131 	 0 0.00375 -1.5672
0 1 -130 	 0 0.0037 -1.57455
0 1 -129 	 0 0.0035 -1.5818
0 1 -128 	 0 0.0035 -1.58905
0 1 -127 	 0 0.00355 -1.5961
0 1 -126 	 0 0.00355 -1.60315
0 1 -125 	 0 0.0036 -1.6102
0 1 -124 	 0 0.0036 -1.6172
0 1 -123 	 0 0.0036 -1.6242
0 1 -122 	 0 0.00345 -1.6311
0 1 -121 	 0 0.0033 -1.63785
0 1 -120 	 0 0.0033 -1.6446
0 1 -119 	 0 0.00335 -1.6513
0 1 -118 	 0 0.00335 -1.6579
0 1 -117 	 0 0.0034 -1.66455
